timestamp,ip,user_id,method,uri_path,browser,status
11/Nov/2025:09:07:27 +0000,172.16.115.116,GUEST,POST,/~gbrugnara/index.php,Chrome,200
11/Nov/2025:09:07:37 +0000,172.16.115.116,GUEST,GET,/~gbrugnara/login.php,Chrome,200
11/Nov/2025:09:07:43 +0000,172.16.115.116,GUEST,POST,/~gbrugnara/login.php,Chrome,200
11/Nov/2025:09:07:43 +0000,172.16.115.116,1,GET,/~gbrugnara/admin.php,Chrome,200
11/Nov/2025:09:07:45 +0000,172.16.115.116,1,GET,/~gbrugnara/admin.php,Chrome,200
11/Nov/2025:09:07:47 +0000,172.16.115.116,1,GET,/~gbrugnara/admin.php,Chrome,200
11/Nov/2025:09:07:48 +0000,172.16.115.116,1,GET,/~gbrugnara/admin.php,Chrome,200
11/Nov/2025:09:07:51 +0000,172.16.115.116,1,GET,/~gbrugnara/admin.php,Chrome,200
11/Nov/2025:09:07:52 +0000,172.16.115.116,1,GET,/~gbrugnara/admin.php,Chrome,200
11/Nov/2025:09:08:31 +0000,172.16.115.116,1,POST,/~gbrugnara/manage_flights.php,Chrome,200
11/Nov/2025:09:08:31 +0000,172.16.115.116,1,GET,/~gbrugnara/admin.php,Chrome,200
11/Nov/2025:09:08:41 +0000,172.16.115.116,GUEST,POST,/~gbrugnara/index.php,Chrome,200
11/Nov/2025:09:08:48 +0000,172.16.115.116,GUEST,POST,/~gbrugnara/index.php,Chrome,200
11/Nov/2025:09:08:53 +0000,172.16.115.116,1,GET,/~gbrugnara/login.php,Chrome,200
11/Nov/2025:09:08:58 +0000,172.16.115.116,1,POST,/~gbrugnara/login.php,Chrome,200
11/Nov/2025:09:08:58 +0000,172.16.115.116,3,GET,/~gbrugnara/user.php,Chrome,200
11/Nov/2025:09:09:01 +0000,172.16.115.116,3,POST,/~gbrugnara/user.php,Chrome,200
11/Nov/2025:09:09:12 +0000,172.16.115.116,3,POST,/~gbrugnara/user.php,Chrome,200
11/Nov/2025:09:09:19 +0000,172.16.115.116,3,GET,/~gbrugnara/user.php,Chrome,200
11/Nov/2025:09:09:20 +0000,172.16.115.116,3,POST,/~gbrugnara/user.php,Chrome,200
11/Nov/2025:09:09:28 +0000,172.16.115.116,3,POST,/~gbrugnara/user.php,Chrome,200
11/Nov/2025:09:09:34 +0000,172.16.115.116,3,POST,/~gbrugnara/book_flight.php,Chrome,200
11/Nov/2025:09:09:34 +0000,172.16.115.116,3,GET,/~gbrugnara/user.php,Chrome,200
11/Nov/2025:09:09:37 +0000,172.16.115.116,3,GET,/~gbrugnara/logout.php,Chrome,200
11/Nov/2025:09:09:37 +0000,172.16.115.116,GUEST,GET,/~gbrugnara/index.php,Chrome,200
11/Nov/2025:09:09:41 +0000,172.16.115.116,GUEST,GET,/~gbrugnara/logout.php,Chrome,200
11/Nov/2025:09:09:41 +0000,172.16.115.116,GUEST,GET,/~gbrugnara/index.php,Chrome,200
